"","user_id","created_at","screen_name","text","retweet_count"
"24","1711700155",2019-08-21 09:14:58,"kristabelocura","#SaveSpiderman is trending but #PrayforAmazonia isn't??????? <U+0001F635><U+0001F62D>",0
"25","1708275128",2019-08-21 09:12:17,"lincohanuey","Futur leader des Avengers, héritier de Tony Stark, l'un des héros les plus drôles, chaleureux et attachants du MCU, sans lui cet univers perdrait beaucoup, il en est devenu une part essentielle.

Ah, oui et Tom Holland merde !!

#SaveSpiderMan https://t.co/6rqYeCtiYM",141
"26","1708275128",2019-08-21 09:14:26,"lincohanuey","Homeless for real
#SaveSpiderMan https://t.co/siIf6nrZVt",811
"27","1708275128",2019-08-21 09:14:02,"lincohanuey","Sony: Ends Spider-Man deal with Disney 

Nobody:

Literally nobody:

Every mcu fan:

#savespiderman https://t.co/FQKNcVO3b5",1454
"28","1708275128",2019-08-21 09:14:06,"lincohanuey","""For the next Tony Stark, I trust you.""

#SpiderMan #SaveSpiderMan https://t.co/D2XFCHtMtA",360
"29","1708275128",2019-08-21 09:11:20,"lincohanuey","#SaveSpiderMan
Sony: we are letting go of Spider Man from the MCU

Me: https://t.co/E6Slq2aOT4",7678
"30","1708275128",2019-08-21 09:14:12,"lincohanuey","I DID NOT GET ATTACHED TO SPIDERMAN JUST FOR HIM TO GET REMOVED SONY YOU REALLY JUST FUCKING UP TOMS DREAM TO BE SPIDERMAN #SaveSpiderMan https://t.co/LqPUMBnhDh",526
"31","1708275128",2019-08-21 09:14:58,"lincohanuey","“Kid, you’re an Avenger now.”

#SaveSpiderMan https://t.co/L7CfVGFgIK",166
"32","1708275128",2019-08-21 09:12:41,"lincohanuey","Tony Stark n’est pas mort pour rien merde !! #SaveSpiderMan https://t.co/NEWFe4Tmpj",158
"33","2876416733",2019-08-21 09:14:57,"ImpalaJourney","Wtf r u doing sony? #SaveSpiderMan https://t.co/EB0ReKkOPf",158
"34","2876416733",2019-08-21 09:14:52,"ImpalaJourney","No. Tom Holland era la persona più felice del mondo con il ruolo di Spiderman, e adesso la Sony non riesce a trovare un fottuto accordo con la Disney? No. Non lo accetto. Stan Lee non è morto per questo #SaveSpiderMan https://t.co/inYLwRS5MN",1
"35","1076431465",2019-08-21 09:11:51,"kamiju_","<U+0644><U+0627> <U+062D><U+0648><U+0644> <U+0648><U+0644><U+0627> <U+0642><U+0648><U+0629> <U+0627><U+0644><U+0627> <U+0628><U+0627><U+0644><U+0644><U+0647> 
 #SaveSpiderMan",0
"36","1076431465",2019-08-21 09:14:57,"kamiju_","I KNOW THAT SPIDER-MAN NEWS BETTER NOT BE REAL @Sony GET YOUR SHIT TOGETHER #SaveSpiderman https://t.co/U0ExAG4qAF",23
"37","1076431465",2019-08-21 09:13:17,"kamiju_","SONY YOU BETTER FIX THIS UP. 
#SaveSpiderMan https://t.co/OmwXGvWag2",43
"38","1076431465",2019-08-21 09:11:18,"kamiju_","took a nap, woke up, and spiderman isn't in the MCU anymore #SaveSpiderMan https://t.co/2i7LtJ5LP3",822
"39","783623838206685184",2019-08-21 09:14:57,"Wh0xx__","Spidey belongs in the MCU #SaveSpiderMan",0
"40","783623838206685184",2019-08-21 09:06:56,"Wh0xx__","La liste des films à éviter pour #SaveSpiderMan en #BoycottSony https://t.co/nRtXTfwhz1",33
"41","2756075958",2019-08-21 09:14:57,"louehxtommo1d","FUCK YOU SONY  #SaveSpiderMan https://t.co/s5hp17WJ2W",526
"42","1007930798287171584",2019-08-21 09:14:43,"PANCHIT35526352","Spider-Man: Come Back Home  #SaveSpiderMan https://t.co/y5kX3pCAWM",279
"43","1007930798287171584",2019-08-21 09:14:28,"PANCHIT35526352","I DID NOT GET ATTACHED TO SPIDERMAN JUST FOR HIM TO GET REMOVED SONY YOU REALLY JUST FUCKING UP TOMS DREAM TO BE SPIDERMAN #SaveSpiderMan https://t.co/LqPUMBnhDh",526
